[02-Jan-2016 20:01:36] 第一步更新操作不正确
[02-Jan-2016 20:08:38] 第一步更新操作不正确
[05-Jan-2016 14:59:38] PHP Warning:  Invalid argument supplied for foreach() in D:\Apache2.2.25\project_apply\Program\htdocs\center\php\action\class\approve.cls.php on line 117
[05-Jan-2016 14:59:39] PHP Warning:  Invalid argument supplied for foreach() in D:\Apache2.2.25\project_apply\Program\htdocs\center\php\action\class\approve.cls.php on line 117
[05-Jan-2016 15:11:11] PHP Warning:  Invalid argument supplied for foreach() in D:\Apache2.2.25\project_apply\Program\htdocs\center\php\action\class\approve.cls.php on line 118
[05-Jan-2016 15:11:11] PHP Warning:  Invalid argument supplied for foreach() in D:\Apache2.2.25\project_apply\Program\htdocs\center\php\action\class\approve.cls.php on line 118
[05-Jan-2016 15:13:54] PHP Warning:  Invalid argument supplied for foreach() in D:\Apache2.2.25\project_apply\Program\htdocs\center\php\action\class\approve.cls.php on line 118
[05-Jan-2016 15:13:54] PHP Warning:  Invalid argument supplied for foreach() in D:\Apache2.2.25\project_apply\Program\htdocs\center\php\action\class\approve.cls.php on line 118
[05-Jan-2016 15:16:26] PHP Warning:  Invalid argument supplied for foreach() in D:\Apache2.2.25\project_apply\Program\htdocs\center\php\action\class\approve.cls.php on line 119
[05-Jan-2016 15:16:26] PHP Warning:  Invalid argument supplied for foreach() in D:\Apache2.2.25\project_apply\Program\htdocs\center\php\action\class\approve.cls.php on line 119
[27-Feb-2016 14:34:04] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, array given in E:\kwproject\Program\htdocs\center\php\action\page\check_opinion.php on line 54
[27-Feb-2016 16:32:37] PHP Warning:  Missing argument 5 for USER::CheckLogin(), called in E:\kwproject\Program\htdocs\center\php\action\page\index.php on line 21 and defined in E:\kwproject\Program\htdocs\common\php\lib\user.cls.php on line 24
[27-Feb-2016 16:32:37] PHP Warning:  Missing argument 6 for USER::CheckLogin(), called in E:\kwproject\Program\htdocs\center\php\action\page\index.php on line 21 and defined in E:\kwproject\Program\htdocs\common\php\lib\user.cls.php on line 24
[27-Feb-2016 16:32:39] PHP Warning:  Missing argument 5 for USER::CheckLogin(), called in E:\kwproject\Program\htdocs\center\php\action\page\index.php on line 21 and defined in E:\kwproject\Program\htdocs\common\php\lib\user.cls.php on line 24
[27-Feb-2016 16:32:39] PHP Warning:  Missing argument 6 for USER::CheckLogin(), called in E:\kwproject\Program\htdocs\center\php\action\page\index.php on line 21 and defined in E:\kwproject\Program\htdocs\common\php\lib\user.cls.php on line 24
[27-Feb-2016 16:32:42] PHP Warning:  Missing argument 5 for USER::CheckLogin(), called in E:\kwproject\Program\htdocs\center\php\action\page\index.php on line 21 and defined in E:\kwproject\Program\htdocs\common\php\lib\user.cls.php on line 24
[27-Feb-2016 16:32:42] PHP Warning:  Missing argument 6 for USER::CheckLogin(), called in E:\kwproject\Program\htdocs\center\php\action\page\index.php on line 21 and defined in E:\kwproject\Program\htdocs\common\php\lib\user.cls.php on line 24
[27-Feb-2016 16:32:43] PHP Warning:  Missing argument 5 for USER::CheckLogin(), called in E:\kwproject\Program\htdocs\center\php\action\page\index.php on line 21 and defined in E:\kwproject\Program\htdocs\common\php\lib\user.cls.php on line 24
[27-Feb-2016 16:32:43] PHP Warning:  Missing argument 6 for USER::CheckLogin(), called in E:\kwproject\Program\htdocs\center\php\action\page\index.php on line 21 and defined in E:\kwproject\Program\htdocs\common\php\lib\user.cls.php on line 24
[27-Feb-2016 16:32:43] PHP Warning:  Missing argument 5 for USER::CheckLogin(), called in E:\kwproject\Program\htdocs\center\php\action\page\index.php on line 21 and defined in E:\kwproject\Program\htdocs\common\php\lib\user.cls.php on line 24
[27-Feb-2016 16:32:43] PHP Warning:  Missing argument 6 for USER::CheckLogin(), called in E:\kwproject\Program\htdocs\center\php\action\page\index.php on line 21 and defined in E:\kwproject\Program\htdocs\common\php\lib\user.cls.php on line 24
[27-Feb-2016 16:32:43] PHP Warning:  Missing argument 5 for USER::CheckLogin(), called in E:\kwproject\Program\htdocs\center\php\action\page\index.php on line 21 and defined in E:\kwproject\Program\htdocs\common\php\lib\user.cls.php on line 24
[27-Feb-2016 16:32:43] PHP Warning:  Missing argument 6 for USER::CheckLogin(), called in E:\kwproject\Program\htdocs\center\php\action\page\index.php on line 21 and defined in E:\kwproject\Program\htdocs\common\php\lib\user.cls.php on line 24
[27-Feb-2016 16:32:44] PHP Warning:  Missing argument 5 for USER::CheckLogin(), called in E:\kwproject\Program\htdocs\center\php\action\page\index.php on line 21 and defined in E:\kwproject\Program\htdocs\common\php\lib\user.cls.php on line 24
[27-Feb-2016 16:32:44] PHP Warning:  Missing argument 6 for USER::CheckLogin(), called in E:\kwproject\Program\htdocs\center\php\action\page\index.php on line 21 and defined in E:\kwproject\Program\htdocs\common\php\lib\user.cls.php on line 24
[27-Feb-2016 16:32:44] PHP Warning:  Missing argument 5 for USER::CheckLogin(), called in E:\kwproject\Program\htdocs\center\php\action\page\index.php on line 21 and defined in E:\kwproject\Program\htdocs\common\php\lib\user.cls.php on line 24
[27-Feb-2016 16:32:44] PHP Warning:  Missing argument 6 for USER::CheckLogin(), called in E:\kwproject\Program\htdocs\center\php\action\page\index.php on line 21 and defined in E:\kwproject\Program\htdocs\common\php\lib\user.cls.php on line 24
[27-Feb-2016 16:32:46] PHP Warning:  Missing argument 5 for USER::CheckLogin(), called in E:\kwproject\Program\htdocs\center\php\action\page\index.php on line 21 and defined in E:\kwproject\Program\htdocs\common\php\lib\user.cls.php on line 24
[27-Feb-2016 16:32:46] PHP Warning:  Missing argument 6 for USER::CheckLogin(), called in E:\kwproject\Program\htdocs\center\php\action\page\index.php on line 21 and defined in E:\kwproject\Program\htdocs\common\php\lib\user.cls.php on line 24
[27-Feb-2016 16:32:46] PHP Warning:  Missing argument 5 for USER::CheckLogin(), called in E:\kwproject\Program\htdocs\center\php\action\page\index.php on line 21 and defined in E:\kwproject\Program\htdocs\common\php\lib\user.cls.php on line 24
[27-Feb-2016 16:32:46] PHP Warning:  Missing argument 6 for USER::CheckLogin(), called in E:\kwproject\Program\htdocs\center\php\action\page\index.php on line 21 and defined in E:\kwproject\Program\htdocs\common\php\lib\user.cls.php on line 24
[27-Feb-2016 16:32:47] PHP Warning:  Missing argument 5 for USER::CheckLogin(), called in E:\kwproject\Program\htdocs\center\php\action\page\index.php on line 21 and defined in E:\kwproject\Program\htdocs\common\php\lib\user.cls.php on line 24
[27-Feb-2016 16:32:47] PHP Warning:  Missing argument 6 for USER::CheckLogin(), called in E:\kwproject\Program\htdocs\center\php\action\page\index.php on line 21 and defined in E:\kwproject\Program\htdocs\common\php\lib\user.cls.php on line 24
[27-Feb-2016 16:32:47] PHP Warning:  Missing argument 5 for USER::CheckLogin(), called in E:\kwproject\Program\htdocs\center\php\action\page\index.php on line 21 and defined in E:\kwproject\Program\htdocs\common\php\lib\user.cls.php on line 24
[27-Feb-2016 16:32:47] PHP Warning:  Missing argument 6 for USER::CheckLogin(), called in E:\kwproject\Program\htdocs\center\php\action\page\index.php on line 21 and defined in E:\kwproject\Program\htdocs\common\php\lib\user.cls.php on line 24
[29-Feb-2016 12:27:13] PHP Warning:  Missing argument 5 for USER::CheckLogin(), called in E:\kwproject\Program\htdocs\center\php\action\page\index.php on line 21 and defined in E:\kwproject\Program\htdocs\common\php\lib\user.cls.php on line 24
[29-Feb-2016 12:27:13] PHP Warning:  Missing argument 6 for USER::CheckLogin(), called in E:\kwproject\Program\htdocs\center\php\action\page\index.php on line 21 and defined in E:\kwproject\Program\htdocs\common\php\lib\user.cls.php on line 24
[29-Feb-2016 12:27:18] PHP Warning:  Missing argument 5 for USER::CheckLogin(), called in E:\kwproject\Program\htdocs\center\php\action\page\index.php on line 21 and defined in E:\kwproject\Program\htdocs\common\php\lib\user.cls.php on line 24
[29-Feb-2016 12:27:18] PHP Warning:  Missing argument 6 for USER::CheckLogin(), called in E:\kwproject\Program\htdocs\center\php\action\page\index.php on line 21 and defined in E:\kwproject\Program\htdocs\common\php\lib\user.cls.php on line 24
[29-Feb-2016 12:27:24] PHP Warning:  Missing argument 5 for USER::CheckLogin(), called in E:\kwproject\Program\htdocs\center\php\action\page\index.php on line 21 and defined in E:\kwproject\Program\htdocs\common\php\lib\user.cls.php on line 24
[29-Feb-2016 12:27:24] PHP Warning:  Missing argument 6 for USER::CheckLogin(), called in E:\kwproject\Program\htdocs\center\php\action\page\index.php on line 21 and defined in E:\kwproject\Program\htdocs\common\php\lib\user.cls.php on line 24
